고유번호,법정동코드,법정동명,지번,대장구분코드,대장구분명,지목코드,지목,면적,소유구분코드,소유구분명,소유(공유)인수,축척구분코드,축척구분명,데이터기준일자,변동순번,입력구분,원천시도시군구코드
4715038021107930000,4715038021,경상북도 김천시 대항면 향천리,793,1,토지대장,01,전,56.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173350198,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173349750,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173349653,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173349043,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173341890,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173341731,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173336466,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173336465,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173335926,U,47150
4715038021114030000,4715038021,경상북도 김천시 대항면 향천리,1403,1,토지대장,01,전,1174.0,03,"외국인, 외국공공기관",3,12,1:1200,2025-06-27,173335925,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173328071,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173327907,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173327759,U,47150
4715011400201240000,4715011400,경상북도 김천시 부곡동,124,2,임야대장,05,임야,41058.0,03,"외국인, 외국공공기관",3,30,1:3000,2025-06-27,173327418,U,47150
